OBJECTID,OHV_AREA_ID,OHV_AREA_NM,OHV_AREA_NR,ADMIN_ST,ADM_UNIT_CD,ADMU_NM,LUPA_ID,LUP_NM,ROD_DT,LUP_OHV_DSGNTN,OHV_LMTN_CD,OHV_LMTN_TX,LUP_DCLR_ACRES,GIS_ACRES,BLM_ACRES,GlobalID,SHAPE_Length,SHAPE_Area
1,OHV-CO-CON01000-001,,001,CO,CON01000,LITTLE SNAKE FIELD OFFICE,LUPA000624,Little Snake Resource Management Plan,2011/10/17 00:00:00+00,Closed,,Closed,4221700.0,124721.90875438,124514.98520537,{08D8BFC1-C795-41E5-87E1-34613860A627},505687.113666393,446963788.729111
2,OHV-CO-CON01000-002,,002,CO,CON01000,LITTLE SNAKE FIELD OFFICE,LUPA000624,Little Snake Resource Management Plan,2011/10/17 00:00:00+00,Limited,Designated,,4221700.0,199831.8232764,199638.66478897,{441DC507-D570-4C33-8598-1C41A56F4E68},874182.804697873,808690697.42599
3,OHV-CO-CON01000-003,,003,CO,CON01000,LITTLE SNAKE FIELD OFFICE,LUPA000624,Little Snake Resource Management Plan,2011/10/17 00:00:00+00,Limited,Existing,,4221700.0,994721.24333659,991808.94709185,{F8F6472F-C38D-4F15-8620-FE934FF12FD2},5868187.54739125,4025494052.89273
4,OHV-CO-CON01000-004,Sand Wash,004,CO,CON01000,LITTLE SNAKE FIELD OFFICE,LUPA000624,Little Snake Resource Management Plan,2011/10/17 00:00:00+00,Open,,,4221700.0,19706.84690049,19689.80819791,{7D220ACD-F783-441B-8523-84E3BF3E22F4},91650.0895490339,79750779.9445076
5,OHV-CO-CON01000-005,,005,CO,CON01000,LITTLE SNAKE FIELD OFFICE,LUPA000624,Little Snake Resource Management Plan,2011/10/17 00:00:00+00,Closed,,Closed to Over-The-Snow Vehicle Use,4221700.0,82428.04209131,82315.70643552,{9E5EA31A-F193-4BCC-9046-8378CEB72AB5},53395.2035797454,57768178.1810224
6,OHV-CO-CON04000-001,Sloan Peak,001,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,LUPA000620,Colorado River Valley Field Office Resource Management Plan,2016/11/17 00:00:00+00,Limited,,,2908400.0,2485.78680853,2482.71345294,{56AEE70F-F148-40F9-8055-19779757D19A},17791.2334691714,10059622.3108323
7,OHV-CO-CON04000-002,Bull Gulch WSA and ACEC,002,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,LUPA000620,Colorado River Valley Field Office Resource Management Plan,2016/11/17 00:00:00+00,Closed,Other,Closed to over snow travel,2908400.0,15205.97098578,15201.60498886,{3A107845-4A57-46B9-BEA2-9F03760160E9},62111.3580991904,68785335.9032558
8,OHV-CO-CON04000-003,Hack Lake WSA,003,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,LUPA000620,Colorado River Valley Field Office Resource Management Plan,2016/11/17 00:00:00+00,Closed,,,2908400.0,1.89965769,1.89965769,{6E77EE31-C3A6-46BE-B7F2-9DF08D99E21B},1053.09524731092,18611.6495885021
10,OHV-CO-CON04000-005,Castle Peak WSA,005,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,LUPA000620,Colorado River Valley Field Office Resource Management Plan,2016/11/17 00:00:00+00,Closed,Other,Closed over snow,2908400.0,12232.43405046,12231.15594932,{DFA219BE-3844-4D86-8962-B6A47B2E2A91},43162.552533211,49512315.8559788
11,OHV-CO-CON04000-006,Eagle Mountain WSA,006,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,LUPA000620,Colorado River Valley Field Office Resource Management Plan,2016/11/17 00:00:00+00,Closed,Other,Closed to over snow travel,2908400.0,318.1853244,317.69803103,{7CFF7C39-7536-421B-B6BB-87C72E0FBEB7},5393.62865850001,1285054.37415845
12,OHV-CO-CON04000-007,Thompson Creek ACEC,007,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,LUPA000620,Colorado River Valley Field Office Resource Management Plan,2016/11/17 00:00:00+00,Closed,Multiple,"Closed over snow, Closed to motorized and mechanized use 12/1-4/15",2908400.0,3551.52083595,3540.71088682,{6F431399-B98E-4458-9E18-8EC5BB87E8F1},19991.8237938683,14329588.5363782
13,OHV-CO-CON04000-008,Deep Creek ACEC,008,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,LUPA000620,Colorado River Valley Field Office Resource Management Plan,2016/11/17 00:00:00+00,Closed,Other,Closed over snow,2908400.0,4323.23198143,4316.23797932,{49F3FF17-ABAF-4A1B-92BC-0E9CAA8B5FBB},28623.8495929476,17511746.1177538
15,OHV-CO-CON04000-010,CRVFO- Limited to Existing Routes,010,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,LUPA000620,Colorado River Valley Field Office Resource Management Plan,2016/11/17 00:00:00+00,Limited,Existing,,2908400.0,460659.14235573,458162.41939827,{B53FFC04-504C-47B4-B00E-D241F057A2A3},2197257.52427403,1148181304.90365
17,OHV-CO-CON04000-012,Haff Ranch/ Fisher Creek,012,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,LUPA000620,Colorado River Valley Field Office Resource Management Plan,2016/11/17 00:00:00+00,Closed,,,2908400.0,1043.03526432,1043.03295223,{079E0A18-A0A9-4C0C-94CA-A594005419AF},12412.2711172849,4297082.92468628
18,OHV-CO-CON04000-013,Limited over snow travel,013,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,LUPA000620,Colorado River Valley Field Office Resource Management Plan,2016/11/17 00:00:00+00,Limited,Other,Limited over snow,2908400.0,45797.25488381,45665.35215643,{C959DA83-76DC-4F55-B083-224FA5C82D71},435967.037617454,177477059.351404
19,OHV-CO-CON04000-017,Big Game Winter Closure,017,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,LUPA000620,Colorado River Valley Field Office Resource Management Plan,2016/11/17 00:00:00+00,Limited,Multiple,"Closed over snow, Closed to motorized 10/1-11/30, Closed to Motorized and Mechanized 12/1-4/15",2908400.0,174601.39131574,174278.44891291,{4A954685-9703-4C73-A9A5-4C21F0BAC73C},32369.6540220611,13339900.8156897
20,OHV-CO-CON04000-015,Hubbard Mesa OHV,015,CO,COG02000,COLORADO RIVER VALLEY FIELD OFFICE,LUPA000620,Roan Plateau SEIS Amendment,2016/08/31 00:00:00+00,Open,,,2908400.0,2331.02346968,2331.00094964,{15E95E1E-5667-4D72-A9E8-5F6C73988099},20447.8750582894,9433317.29880204
21,OHV-CO-COS05000-001,Uncompahgre Field-Office Wide TMP,001,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,LUPA000626,Amendment of OHV Designations in the Uncompahgre Basin and San Juan/San Miguel Resource Management Plans,2010/02/25 00:00:00+00,Limited,Existing,,0.0,338.48353828,330.8019873,{051E7E82-DA1B-48D3-90E0-436324D73D02},1591812.95400963,1336570059.54751
26,OHV-CO-COS05000-006,Dolores River Canyon Wilderness Study Ar,006,CO,COS05000,UNCOMPAHGRE FIELD OFFICE, ,San Juan / San Miguel Resource Management Plan,2020/04/02 00:00:00+00,Closed,Vehicle,Closed motorized and mechanized vehicles,0.0,13320.39914571,13319.31832934,{1B0AED89-B74E-4309-88CA-2BB66F0B3A37},121611.282467867,54031572.7576446
27,OHV-CO-COS05000-007,Tabeguache Wilderness Study Area,007,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,LUPA000626,San Juan / San Miguel Resource Management Plan,2020/04/02 00:00:00+00,Closed,Vehicle,Closed motorized and mechanized vehicles,3097460.0,8026.69689803,8009.1118457,{3B7EB574-4F54-4241-938E-5303BAA20519},30865.666636434,32660716.6650514
28,OHV-CO-COS05000-008,Uncompahgre Fied-Office Wide TMP,,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,LUPA000626,Amendment of OHV Designations in the Uncompahgre Basin and San Juan/San Miguel Resource Management Plans,2010/02/25 00:00:00+00,Limited,Existing,,0.0,207.43694666,207.43694666,{4DC9929B-56BA-4F96-976D-4E916FD3485C},1462160.06399987,703063188.719513
30,OHV-CO-COS05000-010,Gunnison Gorge Planning Area,010,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Limited,Designated,,196000.0,160.05949343,159.97149803,{2922E6E1-6FFD-4F58-8D44-6684D7B3583D},4086.83187191963,653590.122674267
31,OHV-CO-COS05000-011,Dry Creek,011,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,LUPA000626,Dry Creek Travel Management Plan,2009/04/09 00:00:00+00,Closed,Vehicle,Closed to motorized and mechanized vehicles,3097460.0,10662.68923738,10662.68923738,{261FD73D-CE89-49A2-A066-C13357B8D7CB},9795.01710742606,7458.91923560357
32,OHV-CO-COS05000-012,Gunnison Gorge Planning Area,012,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Closed,Multiple,,0.0,17777.80102823,17763.82292602,{5221B3CA-9BD5-4C22-9B62-261A4AB7F1CA},94956.608865494,71938274.3700411
33,OHV-CO-COS05000-013,,013,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,LUPA000616,Dominguez-Escalante National Conservation Area,2017/01/09 00:00:00+00,Closed,Existing,,210172.0,35839.04573309,35818.31686005,{E71BD868-6CBB-4092-AB8F-CF5BF18C8349},95553.2905817405,145131938.305847
34,OHV-CO-COS05000-014,Adobe Badlands Wilderness Study Area,014,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,LUPA000626,Uncompahgre Basin Resource Management Plan,2020/04/02 00:00:00+00,Closed,Vehicle,Closed to motorized and mechanized vehicles,3097460.0,10412.17771305,10402.02464756,{577F9EC9-5B33-4EA9-9E98-6009F2C4C25C},36221.0701154482,41769993.4965308
35,OHV-CO-COS05000-015,Gunnison Gorge Planning Area,015,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Limited,Designated,,196000.0,1348.57714984,1345.90518904,{C00835FC-BA27-40E7-82F1-F77CBC89A295},16515.2053747297,5455173.75127929
37,OHV-CO-COS05000-017,Gunnison Gorge Planning Area,017,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Limited,Designated,,196000.0,893.96476214,893.89475854,{A5D4EF29-20AC-4663-B388-D87530FB8A71},11953.1962387891,3617747.05084626
46,OHV-CO-COS05000-026,Dry Creek,026,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,LUPA000626,Dry Creek Travel Management Plan,2009/04/09 00:00:00+00,Limited,Designated,,3097460.0,40.62864699,40.62864699,{2F61BC2E-3D94-4BEF-A970-DC0D8F14C379},1622.132315607,164418.300988987
47,OHV-CO-COS05000-027,Dry Creek,027,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,LUPA000626,Dry Creek Travel Management Plan,2009/04/09 00:00:00+00,Limited,Designated,,3097460.0,159.75424473,159.74845958,{F8ED3424-84CB-4C1E-BE7D-CAA2C876D513},4038.45970774434,647843.630250765
48,OHV-CO-COS05000-028,Dry Creek,028,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,LUPA000626,Dry Creek Travel Management Plan,2009/04/09 00:00:00+00,Limited,Designated,,3097460.0,79.27073831,79.26911846,{DD629CFA-E0F0-4DF9-847B-220F85742DE0},2397.90423711273,320827.34651548
49,OHV-CO-COS05000-029,Dry Creek,029,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,LUPA000626,Dry Creek Travel Management Plan,2009/04/09 00:00:00+00,Limited,Designated,,3097460.0,158.08143612,158.07958061,{F602217E-0B27-4FA0-886D-A7497BDE3B23},4003.80611740686,639732.868586862
51,OHV-CO-COS05000-031,Gunnison Gorge Planning Area,031,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Limited,Multiple,,0.0,16532.52676136,16519.48367619,{492461C5-9606-4244-8009-763803D8063C},63721.8258693078,66916538.0692569
53,OHV-CO-COS05000-033,Dry Creek,033,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,LUPA000626,Dry Creek Travel Management Plan,2009/04/09 00:00:00+00,Limited,Designated,,3097460.0,76675.92658571,76487.18170631,{4DF073E4-3B87-42A6-BA84-A2BF8A350A6D},311063.714208801,277838232.842832
54,OHV-CO-COS05000-034,Gunnison Gorge Planning Area,034,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Limited,Designated,,196000.0,3785.41720525,3785.41720525,{1B80554F-4C48-4C1C-B00E-A4EB6C86FEC3},25509.1008252597,15319039.9152891
55,OHV-CO-COS05000-035,Gunnison Gorge Planning Area,035,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Limited,Designated,,0.0,5666.27551038,5664.63439296,{436A20CE-F848-4711-9D45-FB45EB09DB66},34666.4911534037,22931429.8984666
93,OHV-CO-COS05000-073,,073,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,LUPA000626, ,2020/04/02 00:00:00+00,Closed,Vehicle,,3097460.0,22.91856661,22.87797894,{1F17B000-ABB4-4161-B3E6-ED7EC7E74428},1293.61889099253,92748.1505103993
94,OHV-CO-COS05000-074,Burn Canyon Transporation Project Area,074,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,LUPA000626,Norwood-Burn Canyon Travel Management Plan,2014/11/14 00:00:00+00,Limited,Multiple,,3097460.0,9158.08080729,9122.32328293,{99FD6191-CCAA-4A2C-B36A-8319BC731E83},56888.2635863991,39725430.4097199
267,OHV-CO-COS05000-247,Gunnison Gorge Planning Area,247,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Limited,Designated,,196000.0,244.13964328,243.44373043,{8C71A260-C360-44ED-918E-1AFC3011483E},4607.12824336063,998217.144907075
270,OHV-CO-COS05000-250,Gunnison Gorge Planning Area,250,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Limited,Designated,,196000.0,280.9828251,280.95619146,{FFDD23C3-5538-4E7E-AB4A-9A756326035A},6465.85709519416,1137097.15875562
284,OHV-CO-COS05000-264,Gunnison Gorge Planning Area,264,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Limited,Designated,,0.0,1077.13883652,1077.13883652,{21D7F731-3F1B-40FB-9054-C6BC0D971856},13788.3219296163,4359026.22146369
289,OHV-CO-COS05000-269,Gunnison Gorge Planning Area,269,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Limited,Designated,,196000.0,40.31830578,40.3182546,{A038B758-B70C-46B5-9A0F-C307E0C78FE9},1615.74438713762,163162.394698857
310,OHV-CO-COS05000-290,Gunnison Gorge Planning Area,290,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Limited,Designated,,196000.0,1278.87606569,1278.87602512,{9A9DBD9D-F60E-463E-BBC9-49C94F6F4E30},14020.4665873991,3272540.78138893
311,OHV-CO-COS05000-291,Gunnison Gorge Planning Area,291,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Limited,Designated,,196000.0,7.78811045,7.78790018,{1BB3F078-AB47-4F03-9334-9807506F796E},1013.03411758122,31517.3233518025
325,OHV-CO-COS05000-305,Gunnison Gorge Planning Area,305,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Limited,Designated,,196000.0,716.66075419,716.42189364,{CF7D81D1-E699-4679-AADE-A475B1DEB4F9},12865.5995653122,2900223.1629222
327,OHV-CO-COS05000-307,Gunnison Gorge Planning Area,307,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Limited,Designated,,196000.0,1365.53618335,1365.48407305,{633A92B5-356A-42F0-B9B8-5B6BD8A2D8AD},16248.5464765148,5526128.8683666
335,OHV-CO-COS05000-315,Gunnison Gorge Planning Area,315,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Limited,Designated,,196000.0,40.06224821,39.67808848,{9C48DBB0-4AF7-49B4-911A-A216F70E68DF},1610.63956056981,162126.157732078
355,OHV-CO-COS05000-335,,335,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,LUPA000616,Dominguez-Escalante National Conservation Area,2017/01/09 00:00:00+00,Limited,Existing,,210172.0,1.71674531,1.71674531,{FD298CBC-5DB6-42BF-891C-3118DC4C332D},681.168042752843,6947.42177939932
368,OHV-CO-COS05000-348,Gunnison Gorge Planning Area,348,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Limited,Designated,,196000.0,10.60575659,10.60575594,{1E81D069-B3DE-4D31-B90A-8E69E9BDAB32},829.235947811135,42919.9715361865
370,OHV-CO-COS05000-350,,350,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,LUPA000626, ,9999/09/09 00:00:00+00,Limited,,,3097460.0,517.36203721,515.22560595,{1A6BD7B7-7E86-4D6D-BA6F-3BDECF34A205},6048.45577722451,2093689.88331694
372,OHV-CO-COS05000-352,Gunnison Gorge Planning Area,352,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Limited,Designated,,196000.0,6.73301093,6.65676512,{53B0D9CA-D45E-44D4-9366-FF856F913F75},807.818848772073,27247.5286210131
376,OHV-CO-COS05000-356,Gunnison Gorge Planning Area,356,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Limited,Designated,,196000.0,81.31414059,80.31224712,{E34FC3D5-8B45-466E-8A70-1EA92C2A98AF},2427.28647472554,329066.66338527
378,OHV-CO-COS05000-358,,358,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,LUPA000616,Dominguez-Escalante National Conservation Area,2017/01/09 00:00:00+00,Limited,Existing,,210172.0,2.79702824,2.79702824,{1C5D94B0-5A17-4391-AFE9-C750D08C1521},565.528494121267,16367.2080492061
380,OHV-CO-COS05000-360,Needle Rock ACEC,360,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,LUPA000626,Uncompahgre Basin Resource Management Plan,1989/07/26 00:00:00+00,Closed,Existing,,3097460.0,82.20351309,81.65119813,{3982359D-A994-4996-92A5-676D0A886D00},2462.78106869607,333955.277689334
384,OHV-CO-COS05000-364,,364,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,LUPA000626, ,9999/09/09 00:00:00+00,Limited,,,3097460.0,41.41362928,40.44714113,{34444F4F-7F7A-444B-A902-B3BF0BDE4257},1638.2503677238,167595.002767522
386,OHV-CO-COS05000-366,,366,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,LUPA000626, ,9999/09/09 00:00:00+00,Limited,,,3097460.0,79.58784598,78.27169697,{083E859D-5D46-4B45-85BA-98A784ABF553},2409.49050007451,322080.595956271
391,OHV-CO-COS05000-371,Gunnison Gorge Planning Area,371,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Limited,Designated,,196000.0,81.80153119,81.21300226,{01AE1765-8D93-4B2C-BC31-DD03FEB7D537},2442.78044264962,331039.04774696
394,OHV-CO-COS05000-374,Gunnison Gorge Planning Area,374,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Limited,Designated,,196000.0,40.58663978,39.22938639,{FC45C547-4841-4045-9EEB-D6C2AC7465E4},1621.21093972546,164248.303570439
395,OHV-CO-COS05000-375,Gunnison Gorge Planning Area,375,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Limited,Designated,,0.0,1857.54937385,1857.47506348,{4EC92125-D911-4D8A-8397-E6001BB450F4},19210.4310676264,7517235.6373306
396,OHV-CO-COS05000-376,Gunnison Gorge Planning Area,376,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Limited,Designated,,196000.0,40.3032919,39.04835249,{B3A169DA-CC08-4284-B1BA-4F549D0493C5},1615.46545914194,163101.619815456
397,OHV-CO-COS05000-377,Gunnison Gorge Planning Area,377,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Limited,Designated,,196000.0,8.55827098,8.37117717,{3E08F625-F8DA-40F7-98F2-69FB5C2F624E},744.496868595635,34634.1001941224
415,OHV-CO-COS05000-395,Gunnison Gorge Planning Area,395,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Limited,Designated,,0.0,40394.7402859,40374.35228921,{ED1B35E6-C96B-422B-BDB3-5EEF60599A23},218285.105287579,163054466.809798
436,OHV-CO-COS05000-416,,416,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,LUPA000616,Dominguez-Escalante National Conservation Area,2017/01/09 00:00:00+00,Limited,Existing,,210172.0,57348.87714843,57166.59711657,{5F7B462E-6924-4293-BB8A-87B4A20CD209},245663.604996459,154895269.07352
472,OHV-CO-COS05000-452,,452,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,LUPA000626, ,9999/09/09 00:00:00+00,Limited,,,3097460.0,1146.28748367,1002.296141,{17742E89-78F6-40AB-BE7B-1496CAD491D0},17385.6016901791,4638860.8476332
486,OHV-CO-COS05000-466,Gunnison Gorge Planning Area,466,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Limited,Designated,,0.0,1663.96575254,1663.89578666,{F3FA61DC-8146-4E21-8AF2-689674ABFE5B},14445.5762087608,6733830.21223326
488,OHV-CO-COS05000-468,Gunnison Gorge Planning Area,468,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Limited,Designated,,196000.0,1257.39209755,1250.96385838,{6967F3E0-6E17-47B9-809D-49604CE7AB4A},13440.7112873039,5086897.05886345
489,OHV-CO-COS05000-469,Gunnison Gorge Planning Area,469,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Limited,Designated,,196000.0,82.29182339,77.59035049,{1896E859-AE2E-43D0-9DC5-F6CE78F8E393},2465.2203051156,333023.2073444
490,OHV-CO-COS05000-470,Gunnison Gorge Planning Area,470,CO,COS05400,GUNNISON GORGE NCA,LUPA000617,Gunnison Gorge National Conservation Area Resource Management Plan,2004/11/04 00:00:00+00,Limited,Designated,,196000.0,82.20383892,81.10113238,{528B1654-9A27-4648-997A-F9D34C4FFCE4},2459.13744969124,332667.117071415
491,OHV-CO-COS05000-471,,471,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,LUPA000616,Dominguez-Escalante National Conservation Area,2017/01/09 00:00:00+00,Limited,Existing,,210172.0,23.03278815,23.03278815,{10028BAC-F29D-44C8-A8EB-8C69A6CD6917},2752.44206808348,93210.3866378174
498,OHV-CO-COS05000-478,Dry Creek,478,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,LUPA000626,Dry Creek Travel Management Plan,2009/04/09 00:00:00+00,Limited,Designated,,3097460.0,11011.86009505,10987.60624911,{60EA4230-025D-4C55-B84D-09CC67714B58},32577.0121862853,44465503.9290193
499,OHV-CO-COS05000-479,Dry Creek,479,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,LUPA000626,Dry Creek Travel Management Plan,2009/04/09 00:00:00+00,Limited,Multiple,,3097460.0,12845.51480086,11813.59832831,{538E6BF8-D302-4AAC-A465-2BF5D26E6FAF},44576.6669774747,51983954.1142944
500,OHV-CO-CON02000-001,,001,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,41285.23341309,41153.48008696,{CCF29C9A-12F3-4826-9FF4-22C6ACE5AAAE},150559.231952772,167075411.988037
501,OHV-CO-CON02000-002,,002,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,9186.4375564,9105.62965236,{71BB1A63-9AB2-4CE5-8AB5-486CD76B22F5},67043.9068168504,37287843.1361211
502,OHV-CO-CON02000-003,,003,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,12949.03857823,12806.40794818,{992E45BC-FE88-4EEF-8131-8E72EF11B41A},67497.9758577239,52147317.0788313
503,OHV-CO-CON02000-004,,004,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,235.16339387,230.2167067,{B5FEFC9D-67D0-4B60-A7F0-1674AF8AB140},5236.10931299913,951672.490795685
504,OHV-CO-CON02000-005,,005,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,40.21072359,36.83485608,{17939995-8916-405D-96BE-6D2DAA84F6DB},2032.8709060245,162727.025016679
505,OHV-CO-CON02000-006,,006,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,79.89143859,76.51137194,{E4D33C5C-9ECF-4196-BED7-B2DB4ACA6D00},2417.91843953546,323309.181353311
506,OHV-CO-CON02000-007,,007,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,167.05672693,161.98393126,{168F089E-7724-4E69-B5D5-D7DE2FB0D5B7},5587.95995688596,676054.588278081
507,OHV-CO-CON02000-008,,008,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,484.05221173,479.29369034,{95E48C0D-1B6B-40C3-95B2-BFD4F73C7A3B},6480.12509134761,1958889.801803
508,OHV-CO-CON02000-009,,009,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,384.34125483,376.81506634,{096A6768-9FD6-4876-96C8-033A228B11EE},5700.89677901278,1555373.8755057
509,OHV-CO-CON02000-010,,010,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,161.69994375,161.452522,{8CFF0C49-08CF-4217-98D8-3F989F01FB5B},4021.71711082603,654061.251607278
510,OHV-CO-CON02000-011,,011,CO,CON02000,KREMMLING FIELD OFFICE,LUPA000623,Kremmling RMP,2015/06/19 00:00:00+00,Limited,,,3115000.0,118.78574964,117.29910899,{EAB06D2A-4C6B-4B6B-A368-A84D29E29EB6},3209.65726200995,480708.873800356
