OBJECTID,MODEL91,LINE91,FRAME91,YEAR,CAN_NBR91,FLGTDATE91,SCALE91,PRINTSAVAIL,SHAPEAREA,SHAPELEN
1,1005,1,5,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,20555949.392525,19347.9598420471
2,1004,1,4,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,18934046.1477195,18997.2143732221
3,1003,1,3,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,18498422.7908273,18859.7734835213
4,1002,1,2,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,19851980.2790031,19220.1228686952
5,1001,1,1,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,34809929.0946227,23740.3602777773
6,2007,2,7,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,17924797.9859625,17356.2833486356
7,2006,2,6,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11337305.9008953,14510.3581221791
8,2005,2,5,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,12726090.2725281,15745.0993571885
9,2004,2,4,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10640746.5644711,13766.5985211854
10,2003,2,3,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,9067229.97659531,12810.9949739543
11,2002,2,2,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,13127615.9081914,14905.5422507578
12,2001,2,1,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,30492273.6640695,23156.0383326126
13,3005,3,5,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,9973819.75802891,12806.2167329303
14,3004,3,4,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,9473147.90465469,12672.1594111816
15,3003,3,3,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10045143.6225109,13131.4873931052
16,3002,3,2,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,9545564.13197109,13157.819679677
17,3001,3,1,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,29592930.199407,21649.6812182708
18,4008,4,8,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,7816827.24259688,11337.9892782041
19,4007,4,7,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,7220926.98395391,10781.0786066317
20,4006,4,6,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,4736202.60341563,8780.97745104927
21,4005,4,5,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,6014128.9835,9726.39048983047
22,4004,4,4,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,5153529.45609141,9116.48453564133
23,4003,4,3,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,6918421.44120156,10562.67392102
24,4002,4,2,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,25735116.914725,20777.5094241606
25,4001,4,1,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,27294100.3474797,21085.4198511545
26,34001,34,1,1991,2036,1991/04/11 00:00:00+00,1 in.=660 ft.,YES,24594755.3663703,19593.990214915
27,5001,5,1,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,35721840.8755781,24101.0492628116
28,6001,6,1,1991,2037,1991/11/07 00:00:00+00,1 in.=660 ft.,YES,30269835.3135203,21952.8426892287
29,7001,7,1,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,30096077.2582789,21942.9485429858
30,8001,8,1,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,26817593.3096531,20822.1295862577
31,9001,9,1,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,29219068.3542273,21521.6743565152
32,10001,10,1,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,32158260.4445922,22704.6370161509
33,11001,11,1,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,29074413.2762813,22563.3243186193
34,12001,12,1,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,24965577.8832984,21571.2655831711
35,13001,13,1,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,28663440.381618,24054.6838486642
36,14001,14,1,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,28379192.6316734,21969.7101079904
37,15001,15,1,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,24227316.7212906,21388.5921375839
38,16001,16,1,1991,2033,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,25564105.7031281,22743.8889485071
39,17001,17,1,1991,2037,1991/11/07 00:00:00+00,1 in.=660 ft.,YES,18790932.0285852,18572.7978092475
40,18001,18,1,1991,2034,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,25751751.47285,21025.2739384075
41,19001,19,1,1991,2034,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,26644453.7149156,20340.7454911216
42,20001,20,1,1991,2034,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,21035998.5817461,20364.3278522945
43,21001,21,1,1991,2034,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,30242581.9245281,21524.1816502981
44,22001,22,1,1991,2034,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,29122733.1915281,21632.5192291661
45,23001,23,1,1991,2034,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,24758666.7325836,19778.0243290619
46,24001,24,1,1991,2034,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,34949880.7636859,23321.0155125098
47,25001,25,1,1991,2034,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,18226674.3186945,17872.0256900895
48,26001,26,1,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,26248057.566368,20660.533232595
49,27001,27,1,1991,2036,1991/04/11 00:00:00+00,1 in.=660 ft.,YES,19578230.3901758,17985.8732632483
50,28001,28,1,1991,2036,1991/04/11 00:00:00+00,1 in.=660 ft.,YES,24918163.0094336,20258.7858302009
51,29001,29,1,1991,2036,1991/04/11 00:00:00+00,1 in.=660 ft.,YES,26009411.8572664,19898.3160851146
52,30001,30,1,1991,2036,1991/04/11 00:00:00+00,1 in.=660 ft.,YES,27310972.027825,20703.9220728594
53,31001,31,1,1991,2036,1991/04/11 00:00:00+00,1 in.=660 ft.,YES,22014899.160843,19051.635034612
54,32001,32,1,1991,2036,1991/04/11 00:00:00+00,1 in.=660 ft.,YES,23707472.144782,19608.8825350162
